Tempo (s);Carga (g);Posicao (mm)
5,11;0;25,5
5,11;0;25,5
5,122;0;25,5
5,122;0;25,5
5,122;0;25,5
5,136;0;25,5
5,136;0;25,5
5,136;0;25,5
5,148;0;25,5
5,148;0;25,5
5,148;0;25,5
5,16;0;25,5
5,16;0;25,5
5,16;0;25,5
5,172;0;25,5
5,172;0;25,5
5,172;0;25,5
5,186;0;25,5
5,186;0;25,5
5,186;0;25,5
5,198;0;25,5
5,198;0;25,5
5,198;0;25,5
5,211;0;25,5
5,211;0;25,5
5,211;0;25,5
5,224;0;25,5
5,224;0;25,5
5,224;0;25,5
5,236;0;25,5
5,236;0;25,5
5,236;0;25,5
5,248;0;25,5
5,248;0;25,5
